main_dish,count
etli nohut,96
etli taze fasulye,85
kiymali ispanak,84
kiymali yesil mercimek,78
izmir kofte,73
etli bezelye,73
bahcivan kebabi,54
etli manti,54
etli kuru fasulye,50
etli guvec,49
et doner,46
tas kebabi,44
tavuk doner,43
orman kebabi,43
meksika soslu tavuk,43
etli turlu,42
eksili kofte,36
firin kofte,36
etli barbunya,36
sucuklu kuru fasulye,36
kiymali karnabahar,30
cin usulu  tavuk sote,30
ciftlik kebabi,30
etli mantar sote,30
kabak begendili kebap,24
firin tavuk but,24
misket kofte,24
pizza,24
pilic topkapi,24
cordon bleu,24
adana kofte,19
kibrit kebabi,19
macar gulas,19
izgara tavuk,19
tavuk kok kanat,19
patlican oturtma,18
pilic emense,18
ciftlik kofte,18
tavuk schnitzel,18
etli patlican dolma,18
hasanpasa kofte,18
firin kofte + patates,18
pideli kofte,18
ankara tava,18
pilic special but,13
rosto kofte,13
hunkar begendi,13
kekikli pilic kavurma,13
tavuk izgara,13
et sote,12
alinazik kebabi,12
tavuk baget haslama,12
pureli rosto kofte,12
tavuk haslama,12
kekikli misket kofte,12
nohutlu misket kofte,12
beef navarin,12
tepsi kebabi,12
etli karisik dolma,12
mantar soslu tavuk sinitzel,12
nugget + patates,12
kadinbudu kofte,12
manisa kirkagac kofte,12
kis turlusu,12
arnavut cigeri,12
pureli tas kebabi,12
kori soslu tavuk sote,12
soslu mitite kofte,12
elbasan tava,12
ispanakli tavuk sarma,12
iskender kebap,12
mantar soslu tavuk,8
kremali tavuk sote,7
sulu kofte,6
dana haslama,6
kabak begendi,6
tavuk sandal,6
kori soslu pilic sote,6
tavuk kulbasti,6
salcali firin kofte,6
tavuk tava,6
pilic kofte,6
sehzade kebabi,6
yayla soslu tavuk,6
mantarli tavuk sote,6
nohutlu kiymali ispanak yemegi,6
mantar soslu tavuk sote,6
karniyarik,6
etli kabak dolma,6
etli yaprak sarma,6
kiymali patates oturtma,6
pilicli patlican kebap,6
pilic kulbasti,6
patates oturtma,6
tavuk fajita,6
pureli davutpasa kofte,6
pilic nugget,6
pizza + patates,6
sebzeli tavuk sote,6
firin tavuk sis,6
icli kofte,6
firin hindi,6
etli biber dolma,6
balik pane,6
meksika usulu tavuk,6
tavuklu mantar sote,6
tavuklu bofstraganof,6
karisik musakka,6
pilic portekiz,6
etli patates oturtma,6
garniturlu tavuk sarma,6
soslu tavuk biftek,6
tavuklu sebze guvec,6
tavuk but kizartma,6
bofstrogonof,6
mantar soslu tavuk biftek,6
tavuk sac kavurma,6
firin baget,6
kuru kofte,6
kori soslu pilic,6
islim kofte,6
etli patates musakka,6
tavuklu abant kebabi,6
nugget,6
tavuk baget,6
kiymali karisik dolma,6
firinda patatesli kofte yemegi,1
cordon bleu + pure,1
