month,day,meal,count
2024-01,friday,dinner,155.83333333333334
2024-01,friday,lunch,267.75
2024-01,monday,dinner,154.4
2024-01,monday,lunch,220.1
2024-01,saturday,dinner,49.666666666666664
2024-01,saturday,lunch,65.04166666666667
2024-01,sunday,dinner,84.79166666666667
2024-01,sunday,lunch,79.58333333333333
2024-01,thursday,dinner,162.33333333333334
2024-01,thursday,lunch,230.0
2024-01,tuesday,dinner,132.63333333333333
2024-01,tuesday,lunch,295.46666666666664
2024-01,wednesday,dinner,183.33333333333334
2024-01,wednesday,lunch,264.3
2024-02,friday,dinner,112.04166666666667
2024-02,friday,lunch,446.4583333333333
2024-02,monday,dinner,275.6666666666667
2024-02,monday,lunch,701.4166666666666
2024-02,saturday,dinner,101.41666666666667
2024-02,saturday,lunch,116.95833333333333
2024-02,sunday,dinner,163.91666666666666
2024-02,sunday,lunch,94.95833333333333
2024-02,thursday,dinner,216.1
2024-02,thursday,lunch,596.1333333333333
2024-02,tuesday,dinner,296.7916666666667
2024-02,tuesday,lunch,667.7083333333334
2024-02,wednesday,dinner,278.5833333333333
2024-02,wednesday,lunch,814.7083333333334
2024-03,friday,dinner,282.1333333333333
2024-03,friday,lunch,426.96666666666664
2024-03,monday,dinner,421.4583333333333
2024-03,monday,lunch,452.2083333333333
2024-03,saturday,dinner,194.46666666666667
2024-03,saturday,lunch,145.8
2024-03,sunday,dinner,236.5
2024-03,sunday,lunch,109.66666666666667
2024-03,thursday,dinner,429.375
2024-03,thursday,lunch,463.875
2024-03,tuesday,dinner,415.0
2024-03,tuesday,lunch,437.5
2024-03,wednesday,dinner,386.0416666666667
2024-03,wednesday,lunch,518.125
2024-04,friday,dinner,185.16666666666666
2024-04,friday,lunch,347.2916666666667
2024-04,monday,dinner,314.6
2024-04,monday,lunch,416.73333333333335
2024-04,saturday,dinner,152.58333333333334
2024-04,saturday,lunch,103.54166666666667
2024-04,sunday,dinner,146.5
2024-04,sunday,lunch,114.25
2024-04,thursday,dinner,268.0833333333333
2024-04,thursday,lunch,372.3333333333333
2024-04,tuesday,dinner,275.3333333333333
2024-04,tuesday,lunch,358.5
2024-04,wednesday,dinner,304.4166666666667
2024-04,wednesday,lunch,486.5833333333333
2024-05,friday,dinner,270.6666666666667
2024-05,friday,lunch,434.6666666666667
2024-05,monday,dinner,258.4166666666667
2024-05,monday,lunch,488.875
2024-05,saturday,dinner,201.875
2024-05,saturday,lunch,214.5
2024-05,sunday,dinner,243.79166666666666
2024-05,sunday,lunch,157.91666666666666
2024-05,thursday,dinner,301.3666666666667
2024-05,thursday,lunch,541.8
2024-05,tuesday,dinner,399.4583333333333
2024-05,tuesday,lunch,448.5416666666667
2024-05,wednesday,dinner,240.9
2024-05,wednesday,lunch,535.4
2024-06,friday,dinner,70.875
2024-06,friday,lunch,115.625
2024-06,monday,dinner,110.5
2024-06,monday,lunch,153.875
2024-06,saturday,dinner,101.36666666666666
2024-06,saturday,lunch,72.16666666666667
2024-06,sunday,dinner,85.86666666666666
2024-06,sunday,lunch,61.43333333333333
2024-06,thursday,dinner,82.5
2024-06,thursday,lunch,140.83333333333334
2024-06,tuesday,dinner,104.41666666666667
2024-06,tuesday,lunch,152.25
2024-06,wednesday,dinner,93.20833333333333
2024-06,wednesday,lunch,193.79166666666666
2024-09,friday,lunch,95.28571428571429
2024-09,monday,lunch,119.0
2024-09,saturday,dinner,1.0
2024-09,thursday,lunch,99.63157894736842
2024-09,tuesday,lunch,90.3157894736842
2024-09,wednesday,lunch,117.0
2024-10,friday,dinner,54.0
2024-10,friday,lunch,145.0
2024-10,monday,lunch,246.5
2024-10,thursday,lunch,288.5
2024-10,tuesday,lunch,392.5
2024-10,wednesday,lunch,365.0
