month,day,dinner,lunch
2024-01,friday,155.83333333333334,267.75
2024-01,monday,154.4,220.1
2024-01,saturday,49.666666666666664,65.04166666666667
2024-01,sunday,84.79166666666667,79.58333333333333
2024-01,thursday,162.33333333333334,230.0
2024-01,tuesday,132.63333333333333,295.46666666666664
2024-01,wednesday,183.33333333333334,264.3
2024-02,friday,112.04166666666667,446.4583333333333
2024-02,monday,275.6666666666667,701.4166666666666
2024-02,saturday,101.41666666666667,116.95833333333333
2024-02,sunday,163.91666666666666,94.95833333333333
2024-02,thursday,216.1,596.1333333333333
2024-02,tuesday,296.7916666666667,667.7083333333334
2024-02,wednesday,278.5833333333333,814.7083333333334
2024-03,friday,282.1333333333333,426.96666666666664
2024-03,monday,421.4583333333333,452.2083333333333
2024-03,saturday,194.46666666666667,145.8
2024-03,sunday,236.5,109.66666666666667
2024-03,thursday,429.375,463.875
2024-03,tuesday,415.0,437.5
2024-03,wednesday,386.0416666666667,518.125
2024-04,friday,185.16666666666666,347.2916666666667
2024-04,monday,314.6,416.73333333333335
2024-04,saturday,152.58333333333334,103.54166666666667
2024-04,sunday,146.5,114.25
2024-04,thursday,268.0833333333333,372.3333333333333
2024-04,tuesday,275.3333333333333,358.5
2024-04,wednesday,304.4166666666667,486.5833333333333
2024-05,friday,270.6666666666667,434.6666666666667
2024-05,monday,258.4166666666667,488.875
2024-05,saturday,201.875,214.5
2024-05,sunday,243.79166666666666,157.91666666666666
2024-05,thursday,301.3666666666667,541.8
2024-05,tuesday,399.4583333333333,448.5416666666667
2024-05,wednesday,240.9,535.4
2024-06,friday,70.875,115.625
2024-06,monday,110.5,153.875
2024-06,saturday,101.36666666666666,72.16666666666667
2024-06,sunday,85.86666666666666,61.43333333333333
2024-06,thursday,82.5,140.83333333333334
2024-06,tuesday,104.41666666666667,152.25
2024-06,wednesday,93.20833333333333,193.79166666666666
2024-09,friday,,95.28571428571429
2024-09,monday,,119.0
2024-09,saturday,1.0,
2024-09,thursday,,99.63157894736842
2024-09,tuesday,,90.3157894736842
2024-09,wednesday,,117.0
2024-10,friday,54.0,145.0
2024-10,monday,,246.5
2024-10,thursday,,288.5
2024-10,tuesday,,392.5
2024-10,wednesday,,365.0
